0
frame_info.len
frame_info.cap_len
ip.flags
ip.flags.df
ip.ttl
ip.proto
ip.checksum
ip.len
ip.dsfield
tcp.srcport
tcp.dstport
tcp.seq
tcp.ack
tcp.hdr_len
tcp.flags
tcp.flags.fin
tcp.flags.syn
tcp.flags.reset
tcp.flags.push
tcp.flags.ack
tcp.flags.urg
tcp.flags.cwr
tcp.window_size
tcp.checksum
